#  aims_uuid : 388BC64A-2B51-4D13-AD00-6382D47B5BC3                                
#  angular momentum projected density of states for species Si as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.019886 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -6.08379283        0.41969337        0.18872618        0.20189778        0.02687477        0.00219465
       -6.01690320        0.40409623        0.18003570        0.19554887        0.02639203        0.00211964
       -5.95001357        0.38863969        0.17143568        0.18929530        0.02586625        0.00204245
       -5.88312393        0.36857712        0.16060246        0.18109265        0.02494993        0.00193208
       -5.81623430        0.33641527        0.14515388        0.16629084        0.02320855        0.00176201
       -5.74934467        0.32009160        0.13700657        0.15887589        0.02252253        0.00168662
       -5.68245504        0.30637760        0.13007341        0.15270149        0.02197730        0.00162540
       -5.61556540        0.29527325        0.12433963        0.14777002        0.02158486        0.00157875
       -5.54867577        0.28673131        0.11976653        0.14406486        0.02135307        0.00154685
       -5.48178614        0.28007668        0.11604067        0.14126989        0.02124027        0.00152586
       -5.41489651        0.27358199        0.11239546        0.13856479        0.02111684        0.00150490
       -5.34800688        0.26714400        0.10878535        0.13589966        0.02097568        0.00148331
       -5.28111724        0.26076272        0.10521046        0.13327354        0.02081765        0.00146106
       -5.21422761        0.25417573        0.10158166        0.13053344        0.02062370        0.00143693
       -5.14733798        0.24708957        0.09779697        0.12751272        0.02037054        0.00140934
       -5.08044835        0.23950402        0.09385290        0.12421704        0.02005610        0.00137798
       -5.01355872        0.23141907        0.08974599        0.12065220        0.01967833        0.00134254
       -4.94666908        0.22280083        0.08545780        0.11680845        0.01923210        0.00130248
       -4.87977945        0.23548622        0.08135302        0.13299353        0.01981404        0.00132563
       -4.81288982        0.31893222        0.07863005        0.21455652        0.02411338        0.00163227
       -4.74600019        0.47501761        0.07808438        0.36196715        0.03261169        0.00235439
       -4.67911056        0.70374236        0.08049843        0.57392410        0.04570050        0.00361933
       -4.61222092        2.17791984        0.09800613        1.93946010        0.12887949        0.01157411
       -4.54533129        1.19982138        0.08386575        1.03336716        0.07539591        0.00719255
       -4.47844166        1.13701227        0.08232363        0.97441192        0.07276704        0.00750968
       -4.41155203        1.09259630        0.08217274        0.93138204        0.07114213        0.00789938
       -4.34466239        1.06166386        0.08288484        0.90015649        0.07028912        0.00833341
       -4.27777276        1.04061233        0.08334312        0.87851855        0.06996478        0.00878589
       -4.21088313        1.02050435        0.08305143        0.85865795        0.06961350        0.00918148
       -4.14399350        1.00431741        0.08279397        0.84243056        0.06953617        0.00955671
       -4.07710387        0.99164053        0.08252440        0.82950174        0.06969137        0.00992302
       -4.01021423        0.98039201        0.08202568        0.81818943        0.06990136        0.01027553
