#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -6.67779633       24.68824258        0.69654951       19.63540300        3.27347452        1.08281555
       -6.66110184       13.62486027        0.40840002       10.64091684        1.96644709        0.60909631
       -6.64440735        7.22612117        0.23007208        5.68192326        0.98921762        0.32490822
       -6.62771285       13.87460872        0.39949070       11.06978897        1.77996004        0.62536901
       -6.61101836       15.03257391        0.27557025       12.45293085        1.71649447        0.58757833
       -6.59432387       19.14996831        0.52515981       15.67743392        2.13552685        0.81184772
       -6.57762938       17.73225720        0.47404038       14.31109530        2.18448535        0.76263617
       -6.56093489       19.86044173        0.36987073       16.61910155        2.08043792        0.79103152
       -6.54424040       15.52574843        0.30711223       12.91494341        1.65397010        0.64972268
       -6.52754591       11.45566358        0.32482188        9.26620926        1.35172314        0.51290929
       -6.51085142       12.84869550        0.36521415       10.28679529        1.64025350        0.55643255
       -6.49415693       13.71659987        0.36621496       11.02509908        1.73040059        0.59488524
       -6.47746244       15.60739105        0.29813679       12.80711104        1.74544056        0.75670266
       -6.46076795        9.38822626        0.20178437        7.57281562        1.16646063        0.44716563
       -6.44407346        7.14345735        0.12772131        5.88439284        0.79876229        0.33258092
       -6.42737896        9.58910804        0.14503935        8.00781557        1.00466697        0.43158616
       -6.41068447       10.56268598        0.23118132        8.65852046        1.20532757        0.46765662
       -6.39398998        8.29921665        0.16402198        6.74886517        1.01715999        0.36916951
       -6.37729549       11.73112099        0.29088499        9.40805745        1.50474838        0.52743018
       -6.36060100       12.27079696        0.17987667       10.20274746        1.35932969        0.52884314
       -6.34390651        6.16761091        0.09491180        5.08896221        0.70077783        0.28295906
       -6.32721202        6.88707447        0.17275337        5.50835909        0.87275624        0.33320578
       -6.31051753        6.20590578        0.12977197        5.04629090        0.74341705        0.28642586
       -6.29382304       10.42264817        0.20258273        8.44481281        1.28521463        0.49003801
       -6.27712855        9.90452390        0.32158221        7.68967595        1.43732974        0.45593601
       -6.26043406        8.85756325        0.31464665        6.79977742        1.31765811        0.42548108
       -6.24373957        7.83006276        0.22314149        6.17185871        1.04805409        0.38700848
       -6.22704508       11.35073824        0.21754761        9.16847572        1.41541660        0.54929831
       -6.21035058        8.82571158        0.15287393        7.15217848        1.09232592        0.42833325
       -6.19365609        5.94493434        0.08315145        4.85664105        0.71632235        0.28881949
       -6.17696160        4.48480413        0.06834977        3.65847289        0.54131459        0.21666687
       -6.16026711        6.50055967        0.14920370        5.13951492        0.90610935        0.30573170
       -6.14357262        7.73410407        0.07886175        6.35095514        0.92313995        0.38114723
       -6.12687813        5.71052829        0.09512884        4.62188942        0.71164398        0.28186605
       -6.11018364        6.12186554        0.16457853        4.73119430        0.95526128        0.27083143
       -6.09348915        9.57112653        0.25119386        7.37939206        1.52011846        0.42042215
       -6.07679466       11.20390856        0.29104886        8.65840938        1.75285804        0.50159228
       -6.06010017        3.58174098        0.06696264        2.80324094        0.54953797        0.16199944
       -6.04340568        8.95703151        0.15780939        6.99360684        1.40354850        0.40206677
       -6.02671119        4.20222294        0.08240132        3.25645881        0.68583364        0.17752917
       -6.01001669        5.89644494        0.09974087        4.59425460        0.95394458        0.24850489
       -5.99332220        5.92495226        0.09681908        4.57842757        1.00823326        0.24147234
       -5.97662771        1.40380384        0.01648011        1.11115906        0.21101927        0.06514539
       -5.95993322        1.80491075        0.00307692        1.48418103        0.20906849        0.10858431
       -5.94323873        3.19127122        0.00096707        2.60816566        0.38747682        0.19466167
       -5.92654424        1.12288742        0.00146393        0.94650068        0.10944443        0.06547837
       -5.90984975        0.74794784        0.00113994        0.62636707        0.07576023        0.04468060
       -5.89315526        0.94524490        0.00122092        0.78899825        0.09793524        0.05709050
       -5.87646077        1.12227049        0.00101895        0.94021729        0.11315088        0.06788337
       -5.85976628        3.90847464        0.00329695        3.30700683        0.36351045        0.23466041
       -5.84307179        1.61356907        0.00087715        1.35233927        0.16072524        0.09962741
       -5.82637730        0.22444783        0.00013640        0.18678609        0.02358764        0.01393770
       -5.80968280        0.13160257        0.00071371        0.11164895        0.01159558        0.00764433
       -5.79298831        0.32075519        0.00067234        0.27429160        0.02662832        0.01916292
       -5.77629382        0.00149750        0.00007574        0.00118874        0.00017314        0.00005988
       -5.75959933        0.00643857        0.00006182        0.00540210        0.00059127        0.00038338
       -5.74290484        0.60886927        0.00016296        0.51659312        0.05350169        0.03861150
       -5.72621035        0.46465490        0.00030303        0.40337009        0.03263667        0.02834510
       -5.70951586        0.51815120        0.00039024        0.44896924        0.03688045        0.03191127
       -5.69282137        0.04368785        0.00016482        0.03759856        0.00326976        0.00265472
       -5.67612688        0.00177644        0.00005902        0.00145069        0.00021043        0.00005629
       -5.65943239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.64273790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.62604341        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.60934891        0.00071568        0.00003461        0.00056371        0.00008318        0.00003418
       -5.59265442        0.00095852        0.00004794        0.00075518        0.00010988        0.00004552
       -5.57595993        0.00106672        0.00005584        0.00084108        0.00011978        0.00005002
       -5.55926544        0.00195215        0.00010660        0.00154922        0.00021057        0.00008576
       -5.54257095        0.00290385        0.00016146        0.00233196        0.00029740        0.00011303
       -5.52587646        0.00264986        0.00013048        0.00215385        0.00028106        0.00008447
       -5.50918197        0.00192199        0.00009614        0.00155548        0.00020841        0.00006196
       -5.49248748        0.00174742        0.00007169        0.00141879        0.00021028        0.00004666
       -5.47579299        0.00214343        0.00006773        0.00173813        0.00029099        0.00004657
       -5.45909850        0.00025772        0.00000768        0.00020981        0.00003355        0.00000668
       -5.44240401        0.00102586        0.00002314        0.00084238        0.00013694        0.00002341
       -5.42570952        0.00112873        0.00001580        0.00092678        0.00016227        0.00002389
       -5.40901503        0.00078840        0.00000200        0.00065192        0.00011829        0.00001619
       -5.39232053        0.00046694       -0.00000012        0.00038633        0.00007137        0.00000936
       -5.37562604        0.00058198       -0.00000284        0.00048674        0.00008672        0.00001135
       -5.35893155        0.00040701       -0.00000310        0.00034162        0.00006077        0.00000772
       -5.34223706        0.00035604       -0.00000434        0.00030049        0.00005333        0.00000655
       -5.32554257        0.00035602       -0.00000634        0.00030225        0.00005371        0.00000639
       -5.30884808        0.00025105       -0.00000748        0.00021576        0.00003845        0.00000433
       -5.29215359        0.00027639       -0.00001062        0.00024014        0.00004219        0.00000468
       -5.27545910        0.00017595       -0.00000743        0.00015374        0.00002671        0.00000293
       -5.25876461        0.00015093       -0.00000713        0.00013274        0.00002289        0.00000243
       -5.24207012        0.00013657       -0.00000708        0.00012086        0.00002066        0.00000213
       -5.22537563        0.00012200       -0.00000687        0.00010865        0.00001837        0.00000185
       -5.20868114        0.00009971       -0.00000594        0.00008927        0.00001490        0.00000148
       -5.19198664        0.00008445       -0.00000527        0.00007598        0.00001252        0.00000122
       -5.17529215        0.00007181       -0.00000469        0.00006494        0.00001055        0.00000100
       -5.15859766        0.00005958       -0.00000406        0.00005417        0.00000868        0.00000080
       -5.14190317        0.00004776       -0.00000340        0.00004365        0.00000689        0.00000062
       -5.12520868        0.00003589       -0.00000265        0.00003296        0.00000513        0.00000044
       -5.10851419        0.00001726       -0.00000132        0.00001591        0.00000245        0.00000021
       -5.09181970        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.07512521        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.05843072        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.04173623        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.02504174        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.00834725        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.99165275        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.97495826        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.95826377        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.94156928        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.92487479        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.90818030        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.89148581        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.87479132        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.85809683        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.84140234        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.82470785        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.80801336        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -4.79131886        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
