#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species S as calculated by FHI-aims 
# The energy reference for this output is the chemical potential, mu =      -5.055454 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3
       -3.32518021       16.29689101        0.24638930       14.76018481        1.09911616        0.19120074
       -3.30848572       19.88080108        0.38528978       18.01250189        1.25487889        0.22813051
       -3.29179123       20.63267315        0.28889155       18.70285185        1.39617845        0.24475131
       -3.27509674       19.87202486        0.27264256       18.00926283        1.34728862        0.24283085
       -3.25840225       23.44810507        0.42642262       21.28090500        1.47532610        0.26545134
       -3.24170776       26.51271646        0.69130562       24.12087831        1.44129416        0.25923837
       -3.22501327       32.65492387        0.57352600       29.76002245        1.96812998        0.35324545
       -3.20831878       39.37981118        0.71648109       35.88651056        2.36102400        0.41579552
       -3.19162429       32.44232363        0.62125298       29.61511882        1.83786765        0.36808418
       -3.17492980       33.40966034        1.04064539       30.51587025        1.55466020        0.29848450
       -3.15823530       34.67860178        1.03015701       31.63267167        1.71178344        0.30398966
       -3.14154081       36.57902687        1.23146206       33.32008347        1.71507300        0.31240834
       -3.12484632       41.39667278        1.53405623       37.74455563        1.76612500        0.35193592
       -3.10815183       38.80258688        1.60318693       35.67723665        1.23395741        0.28820589
       -3.09145734       37.56393070        1.61230373       34.60924787        1.08445158        0.25792752
       -3.07476285       35.08417507        1.49040716       32.43728486        0.91507469        0.24140836
       -3.05806836       36.31476583        1.44236172       33.66027326        0.95861848        0.25351237
       -3.04137387       46.66901597        1.87139754       43.22695641        1.24469731        0.32596471
       -3.02467938       36.83230316        1.07670285       33.89475987        1.54499213        0.31584830
       -3.00798489       40.70515789        1.45565146       37.57033127        1.37516786        0.30400730
       -2.99129040       43.47267970        1.63245706       40.11578853        1.41226863        0.31216548
       -2.97459591       45.16224109        1.65515905       41.90100809        1.29062365        0.31545030
       -2.95790141       69.59745608        2.96159282       64.80035080        1.42194784        0.41356461
       -2.94120692       54.80994106        2.20641403       51.07276040        1.19554728        0.33521935
       -2.92451243       73.06381140        2.83478364       68.12024791        1.65230325        0.45647660
       -2.90781794       61.96886785        2.26278883       57.71293134        1.59036913        0.40277855
       -2.89112345       54.41695047        1.75989268       50.63672721        1.60046047        0.41987012
       -2.87442896       42.60051020        1.54017445       39.78194019        1.01405129        0.26434426
       -2.85773447       53.41792316        2.00918214       49.68281555        1.39583558        0.33008990
       -2.84103998       52.01656718        1.89740832       48.51564606        1.27172039        0.33179242
       -2.82434549       35.93365253        1.04134317       33.33414023        1.26728336        0.29088578
       -2.80765100       41.59609408        1.23546484       38.77006426        1.28820600        0.30235897
       -2.79095651       41.16419976        1.12750852       38.43303664        1.29126548        0.31238911
       -2.77426202       46.21472154        1.43310601       43.05287226        1.40244893        0.32629434
       -2.75756752       34.38360411        1.17182561       32.22217282        0.77834211        0.21126357
       -2.74087303       30.40627095        0.91869865       28.46389080        0.81585860        0.20782290
       -2.72417854       30.43663805        0.96740375       28.52496739        0.74570189        0.19856502
       -2.70748405       28.58465335        0.87227493       26.81093544        0.71023635        0.19120663
       -2.69078956       29.43873585        0.78031424       27.59174080        0.85379872        0.21288210
       -2.67409507       31.05130096        0.78203909       29.07283724        0.96589177        0.23053285
       -2.65740058       30.42982828        0.83659843       28.53253484        0.85083524        0.20985977
       -2.64070609       32.65449515        0.99712613       30.57668032        0.86888281        0.21180589
       -2.62401160       27.35405691        0.81155160       25.47597524        0.87255944        0.19397063
       -2.60731711       25.88257041        0.84876130       24.14081014        0.73312151        0.15987747
       -2.59062262       26.97981919        0.69426901       25.28789232        0.79717797        0.20047990
       -2.57392813       28.27771243        0.74984627       26.52511860        0.79501246        0.20773510
       -2.55723364       37.20407705        1.01100668       35.02625517        0.91137395        0.25544125
       -2.54053914       36.49469276        0.94756462       34.48526516        0.82520022        0.23666275
       -2.52384465       33.55103303        0.83612957       31.69187448        0.79910746        0.22392152
       -2.50715016       28.44495971        0.63723077       26.86246438        0.74530684        0.19995772
       -2.49045567       28.73841307        0.65782735       27.12573738        0.74954707        0.20530127
       -2.47376118       26.95997940        0.58019905       25.39047682        0.77577499        0.21352854
       -2.45706669       28.42158562        0.62583108       26.83527826        0.75282547        0.20765081
       -2.44037220       27.07418246        0.61252316       25.70511813        0.58911285        0.16742832
       -2.42367771       28.19041179        0.64826974       26.55420420        0.78095921        0.20697865
       -2.40698322       28.98379338        0.68282103       27.62419795        0.51418400        0.16259040
       -2.39028873       26.11356125        0.56055723       24.71932820        0.64725945        0.18641637
       -2.37359424       31.34790470        0.82940117       29.78590136        0.57046251        0.16213967
       -2.35689975       26.21684016        0.60481231       25.04697717        0.43545326        0.12959743
       -2.34020525       28.67197059        0.61642230       27.38743096        0.51419790        0.15391944
       -2.32351076       33.77085381        0.72848428       31.95711420        0.88006295        0.20519238
       -2.30681627       48.37784495        0.75309717       46.12645370        1.17245597        0.32583811
       -2.29012178       23.90948904        0.41626131       22.81463645        0.55190718        0.12668410
       -2.27342729       28.48772118        0.43083394       26.97876542        0.88867437        0.18944744
       -2.25673280       39.40161032        0.71220957       37.41177986        1.06465871        0.21296218
       -2.24003831       29.92714481        0.52204921       28.45426773        0.77720428        0.17362359
       -2.22334382       32.77693016        0.48937683       31.05597952        1.00034472        0.23122908
       -2.20664933       24.60800203        0.34282416       23.41404527        0.67339556        0.17773704
       -2.18995484       29.13145945        0.46021386       27.67936614        0.82262052        0.16925893
       -2.17326035       27.60383117        0.46360319       26.26836362        0.73982204        0.13204232
       -2.15656586       52.44567845        0.76022598       49.93117349        1.49949082        0.25478815
       -2.13987136       27.23557047        0.35827462       25.92813408        0.81469878        0.13446299
       -2.12317687       28.46372552        0.44528473       27.35189098        0.58214922        0.08440059
       -2.10648238       34.44871645        0.47971649       33.07095027        0.78305395        0.11499574
       -2.08978789       21.35987302        0.27461100       20.49762777        0.51563971        0.07199455
       -2.07309340       15.00811329        0.22228916       14.33239015        0.38743309        0.06600088
       -2.05639891       18.67128898        0.24969676       17.59162188        0.69847239        0.13149795
       -2.03970442       17.71609669        0.31104121       16.21934768        0.95887564        0.22683216
       -2.02300993       15.23533108        0.24869173       13.66703519        1.03889455        0.28070961
       -2.00631544        7.76871762        0.22314346        6.18411140        1.05422942        0.30723334
       -1.98962095       12.15905631        0.33743371        9.67914662        1.66023211        0.48224387
       -1.97292646        7.92253974        0.23666816        6.20889216        1.13897698        0.33800244
       -1.95623197        8.58183034        0.24466371        6.78510690        1.18766206        0.36439767
       -1.93953747        8.94551449        0.19976721        7.43275332        0.98525649        0.32773747
       -1.92284298       10.61383721        0.27656782        8.45443838        1.44745963        0.43537138
       -1.90614849        8.65042867        0.25285863        6.66079910        1.34607554        0.39069541
       -1.88945400       10.64110538        0.37724742        7.84478674        1.88670451        0.53236672
       -1.87275951        9.03544901        0.25074286        7.04706716        1.32856030        0.40907868
       -1.85606502       10.44411345        0.34451861        7.89804388        1.70197144        0.49957953
       -1.83937053       12.60853840        0.35506488        9.95054039        1.74104719        0.56188595
       -1.82267604       17.06501435        0.58288640       13.17405338        2.53272368        0.77535089
       -1.80598155       14.40940797        0.30906448       12.25415463        1.35715569        0.48903317
       -1.78928706       24.14296159        0.74744253       19.81405128        2.64570978        0.93575800
       -1.77259257       20.57369478        0.49375745       17.07587570        2.23110391        0.77295772
