#  aims_uuid : 4CF4697B-F09B-4DB5-AAA9-BCDA3D746416                                
#  angular momentum projected density of states for species Pb as calculated by FHI-aims 
# The energy reference for this output is the vacuum level =       0.000000 eV
#      Energy (eV)         total dos     l= 0              l= 1              l= 2              l= 3              l= 4
       -7.72954925        1.10060383        0.11127412        0.89627046        0.08336864        0.00727822        0.00241240
       -7.71285476        1.75306230        0.18265019        1.40957117        0.14509824        0.01161447        0.00412824
       -7.69616027        1.52329277        0.12157776        1.21191716        0.17370543        0.01119143        0.00490099
       -7.67946578        1.82334406        0.10382678        1.46416614        0.23533032        0.01341848        0.00660235
       -7.66277129        2.31285968        0.09949685        1.99414449        0.20067221        0.01343935        0.00510678
       -7.64607679        5.53726930        0.27206795        4.83613132        0.39153785        0.02722186        0.01031031
       -7.62938230        3.91775278        0.10418152        3.52909030        0.25734840        0.02066420        0.00646837
       -7.61268781        5.10271723        0.12940309        4.66803778        0.27588873        0.02248578        0.00690185
       -7.59599332        5.92719355        0.12493547        5.50958935        0.26052491        0.02546670        0.00667712
       -7.57929883        5.75755429        0.10190642        5.44308342        0.18394531        0.02363996        0.00497918
       -7.56260434        9.57062559        0.13463520        9.21628529        0.17172695        0.04285791        0.00512025
       -7.54590985        4.00220544        0.11484371        3.76299758        0.10866140        0.01236841        0.00333434
       -7.52921536        4.31002214        0.17212147        4.00203092        0.11964774        0.01225186        0.00397014
       -7.51252087        3.72089378        0.14353042        3.46238879        0.10024828        0.01150478        0.00322151
       -7.49582638        3.71478835        0.12521229        3.47680573        0.09746994        0.01243628        0.00286411
       -7.47913189        3.41600432        0.07870937        3.24458315        0.07899569        0.01152129        0.00219483
       -7.46243740        2.15018576        0.04729208        2.04305520        0.05046040        0.00795598        0.00142210
       -7.44574290        3.39726003        0.07149816        3.22990543        0.07941731        0.01409597        0.00234316
       -7.42904841        6.34150332        0.26907282        5.83521408        0.20352125        0.02747747        0.00621770
       -7.41235392        6.56983248        0.22741099        6.08958241        0.21505613        0.03105470        0.00672825
       -7.39565943        4.90921991        0.24658571        4.43602165        0.19643684        0.02399111        0.00618459
       -7.37896494        4.90800196        0.18583128        4.51892691        0.17260244        0.02543896        0.00520238
       -7.36227045        3.04328849        0.13213676        2.75567597        0.13266921        0.01875130        0.00405524
       -7.34557596        4.01128007        0.24538447        3.56140010        0.17582284        0.02371866        0.00495400
       -7.32888147        2.46920181        0.10078836        2.24467427        0.10260245        0.01814477        0.00299194
       -7.31218698        1.20488397        0.07765300        1.03924000        0.07424038        0.01166672        0.00208387
       -7.29549249        2.30665076        0.13949447        1.94756090        0.19093720        0.02331392        0.00534427
       -7.27879800        2.29197757        0.20107156        1.73654263        0.32436436        0.02109798        0.00890104
       -7.26210351        2.00609049        0.15672518        1.60178507        0.22684003        0.01465877        0.00608144
       -7.24540902        2.37241421        0.15491444        2.00759743        0.19047352        0.01523100        0.00419783
       -7.22871452        1.50946722        0.11838504        1.20430052        0.17264250        0.00966066        0.00447851
       -7.21202003        2.05602643        0.14964590        1.63909410        0.24565729        0.01503873        0.00659042
       -7.19532554        1.72466067        0.11088315        1.29626623        0.28936621        0.01995373        0.00819135
       -7.17863105        3.26115349        0.21901838        2.51225562        0.47716878        0.03936296        0.01334775
       -7.16193656        0.48048700        0.02579764        0.34543147        0.09681479        0.00972291        0.00272019
       -7.14524207        1.46554682        0.05112640        1.16539090        0.21268948        0.03053966        0.00580038
       -7.12854758        1.56293124        0.04948949        1.26023091        0.21570513        0.03201040        0.00549531
       -7.11185309        2.76882418        0.05788931        2.37670512        0.27535381        0.05229075        0.00658519
       -7.09515860        2.41608028        0.05292958        2.04759131        0.26848683        0.04129747        0.00577508
       -7.07846411        1.67184547        0.03384073        1.37893303        0.21875938        0.03569221        0.00462011
       -7.06176962        1.53914265        0.04114316        1.20063848        0.25206332        0.04011714        0.00518054
       -7.04507513        1.10947697        0.02672881        0.84754468        0.19980924        0.03130683        0.00408741
       -7.02838063        0.94421877        0.02364537        0.74096559        0.14995843        0.02657038        0.00307899
       -7.01168614        1.51526437        0.03899516        1.22849035        0.20394565        0.03979941        0.00403381
       -6.99499165        1.60848190        0.04496717        1.34520152        0.17814239        0.03666839        0.00350243
       -6.97829716        1.05735637        0.05032037        0.79724247        0.17312980        0.03313870        0.00352503
       -6.96160267        1.26151945        0.05580158        0.99433623        0.17042629        0.03723742        0.00371793
       -6.94490818        0.53519831        0.04379950        0.36084519        0.10951581        0.01832197        0.00271584
       -6.92821369        0.67619605        0.05483798        0.46690835        0.13019272        0.02069361        0.00356339
       -6.91151920        0.90054454        0.07273176        0.66124774        0.13996331        0.02222304        0.00437870
       -6.89482471        0.81753440        0.13769002        0.50164340        0.15890137        0.01305169        0.00624792
       -6.87813022        1.98121209        0.29038120        1.30091158        0.33824049        0.03807706        0.01360175
       -6.86143573        1.21967986        0.25184975        0.72989300        0.20667663        0.02271853        0.00854196
       -6.84474124        1.13425027        0.26542721        0.64450463        0.19556670        0.02009822        0.00865352
       -6.82804674        1.33986035        0.36183989        0.72730463        0.20033518        0.03743268        0.01294797
       -6.81135225        1.39869170        0.34887045        0.75522402        0.24666926        0.03386377        0.01406420
       -6.79465776        2.39301012        0.54187192        1.39015158        0.36893164        0.06718906        0.02486592
       -6.77796327        0.99759376        0.21704655        0.57063074        0.18007143        0.02125624        0.00858880
       -6.76126878        1.29486479        0.20233280        0.74736374        0.29727577        0.03673502        0.01115746
       -6.74457429        0.96861507        0.16327648        0.56759360        0.20639777        0.02403806        0.00730916
       -6.72787980        1.52940942        0.18871441        0.93057129        0.34518391        0.05517480        0.00976501
       -6.71118531        1.38756618        0.33042883        0.72541373        0.27538432        0.04375018        0.01258912
       -6.69449082        1.89173897        0.46412907        1.06432975        0.29152324        0.05283533        0.01892157
       -6.67779633        2.53059433        0.57034685        1.46744995        0.39442585        0.07137520        0.02699648
       -6.66110184        0.73833630        0.15019434        0.40883250        0.14682799        0.02447958        0.00800190
       -6.64440735        0.82106618        0.17542046        0.43151479        0.17811967        0.02577243        0.01023883
       -6.62771285        2.55929567        0.50513219        1.47333267        0.46590418        0.08588153        0.02904510
       -6.61101836        1.63864420        0.29616612        0.89839713        0.36709239        0.05993179        0.01705676
       -6.59432387        1.99455366        0.56173243        0.98806137        0.35890651        0.05918929        0.02666405
       -6.57762938        1.30452422        0.35740427        0.59183801        0.28830562        0.04773048        0.01924584
       -6.56093489        1.27201249        0.28081290        0.66263483        0.25543681        0.05703371        0.01609424
       -6.54424040        0.96247043        0.22837425        0.45141699        0.22803968        0.04138998        0.01324953
       -6.52754591        1.34310643        0.26188576        0.65259331        0.34887679        0.06460884        0.01514173
       -6.51085142        0.84996895        0.18973500        0.38059894        0.22467608        0.04362424        0.01133470
       -6.49415693        0.93034623        0.17280740        0.47069938        0.22158192        0.05349989        0.01175764
       -6.47746244        0.93775941        0.11398867        0.56669224        0.18381587        0.06478007        0.00848256
       -6.46076795        1.55518769        0.16574487        0.96595212        0.32599311        0.08389250        0.01360510
       -6.44407346        1.69621183        0.18831430        1.09015183        0.30758744        0.09552034        0.01463792
       -6.42737896        1.61090690        0.19230657        0.97605418        0.34646113        0.08071934        0.01536568
       -6.41068447        2.92679055        0.34232080        1.73843366        0.68606856        0.13097423        0.02899330
       -6.39398998        2.36213517        0.21595287        1.43719949        0.58555008        0.10123481        0.02219793
       -6.37729549        1.54044007        0.09922525        0.92683309        0.44637340        0.05467766        0.01333067
       -6.36060100        0.96750053        0.05841326        0.55699966        0.31121330        0.03216841        0.00870589
       -6.34390651        1.08695328        0.05496280        0.66343985        0.32823464        0.03228790        0.00802809
       -6.32721202        1.53188694        0.10409491        0.81037540        0.56388968        0.04088990        0.01263705
       -6.31051753        1.77698832        0.12184544        1.04832293        0.54896144        0.04690607        0.01095243
       -6.29382304        2.16527119        0.16387216        1.08070599        0.85692824        0.04959681        0.01416799
       -6.27712855        1.89436490        0.22556789        0.88057810        0.73480883        0.03974137        0.01366871
       -6.26043406        1.02892375        0.16103806        0.43446909        0.40437212        0.02090069        0.00814379
       -6.24373957        0.97677659        0.23459978        0.31954149        0.39840918        0.01612251        0.00810363
       -6.22704508        0.16699149        0.02482810        0.08295683        0.05439658        0.00366577        0.00114421
       -6.21035058        0.10667680        0.01252965        0.06013055        0.03037504        0.00310868        0.00053287
       -6.19365609        0.15265027        0.01501331        0.08431953        0.04772878        0.00478300        0.00080565
       -6.17696160        0.42708768        0.02581319        0.21616701        0.16926668        0.01272550        0.00311530
       -6.16026711        1.73032800        0.10010509        0.98419466        0.58043420        0.05461766        0.01097639
       -6.14357262        1.63998533        0.13301666        0.95369318        0.48816569        0.05542871        0.00968109
       -6.12687813        2.85500379        0.26016399        1.67018847        0.80971846        0.09972193        0.01521094
       -6.11018364        2.39151125        0.22262212        1.49916068        0.56892646        0.09064419        0.01015780
       -6.09348915        0.99669410        0.07672014        0.58986275        0.28222348        0.04153352        0.00635421
       -6.07679466        2.12211793        0.27696763        0.99570198        0.75051997        0.08464938        0.01427897
       -6.06010017        3.06706531        0.21216134        1.92293926        0.73681231        0.17640135        0.01875104
       -6.04340568        1.55904404        0.09405944        0.98590585        0.37149347        0.09876448        0.00882080
       -6.02671119        0.54167690        0.04556709        0.27081074        0.18726156        0.03335137        0.00468614
       -6.01001669        1.89071490        0.20238851        0.95241873        0.58501675        0.13831157        0.01257934
       -5.99332220        1.31251073        0.22657808        0.50302867        0.48357256        0.08811637        0.01121504
       -5.97662771        1.63625199        0.24028544        0.68262663        0.56988496        0.13103651        0.01241845
       -5.95993322        1.11339158        0.15212448        0.47411771        0.38537536        0.09167022        0.01010381
       -5.94323873        1.62575071        0.13831740        0.79499700        0.52603094        0.14937309        0.01703228
       -5.92654424        0.80753458        0.05371824        0.40123869        0.26148409        0.08325768        0.00783588
       -5.90984975        0.55069008        0.04109295        0.26497055        0.19235180        0.04746630        0.00480847
       -5.89315526        0.48531571        0.04224655        0.23479542        0.16340392        0.04070694        0.00416288
       -5.87646077        0.48377985        0.04453597        0.23996307        0.14639964        0.04882763        0.00405354
       -5.85976628        2.97964883        0.38037340        1.29569346        0.98217468        0.28348709        0.03792020
       -5.84307179        1.30614766        0.12272175        0.49673642        0.54767856        0.11909062        0.01992031
       -5.82637730        0.86092080        0.06185459        0.33495340        0.37680364        0.07676560        0.01054357
       -5.80968280        1.78270238        0.12287492        0.67372543        0.79423295        0.16819052        0.02367856
       -5.79298831        1.78948428        0.13500648        0.67475109        0.79831198        0.14365453        0.03776020
       -5.77629382        0.58160159        0.04665289        0.28367147        0.18411876        0.05855124        0.00860723
       -5.75959933        0.37705698        0.07539741        0.16549366        0.09007828        0.03838349        0.00770415
       -5.74290484        1.50644577        0.39756579        0.49803353        0.47707951        0.09552973        0.03823721
       -5.72621035        0.56452690        0.15212943        0.17020206        0.19017436        0.03160844        0.02041260
       -5.70951586        1.79355734        0.31974113        0.63958079        0.60094335        0.15141777        0.08187431
       -5.69282137        1.43209340        0.13352287        0.72250584        0.38691886        0.15908354        0.03006229
       -5.67612688        0.74806261        0.05503689        0.12693712        0.50023345        0.02800021        0.03785495
       -5.65943239        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.64273790        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.62604341        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000        0.00000000
       -5.60934891        0.18618682        0.13170713        0.00852014        0.04124930        0.00204093        0.00266932
       -5.59265442        0.30800649        0.21648435        0.02347958        0.05805343        0.00585127        0.00413786
       -5.57595993        0.43500728        0.30604297        0.04273889        0.06979671        0.01090448        0.00552423
       -5.55926544        1.06029771        0.75867978        0.11367543        0.14948827        0.02678590        0.01166831
       -5.54257095        1.99717709        1.46812191        0.21326087        0.25668909        0.04151276        0.01759246
       -5.52587646        2.37214980        1.76329973        0.26934248        0.28621922        0.03644678        0.01684158
       -5.50918197        1.85723248        1.42781338        0.17689743        0.20774881        0.03045118        0.01432168
       -5.49248748        2.10684190        1.65943752        0.18391579        0.22234524        0.02623177        0.01491158
       -5.47579299        3.11532662        2.55948151        0.18983868        0.32040460        0.02494647        0.02065536
       -5.45909850        0.40560313        0.31997600        0.05264015        0.02057942        0.00959595        0.00281159
       -5.44240401        1.98262774        1.51480089        0.28205978        0.14727073        0.02857337        0.00992297
       -5.42570952        2.49582193        1.93967187        0.36062110        0.15248842        0.03093797        0.01210257
